수집시간,정산회차,타이밍,시간대,롱숏_롱,롱숏_숏,청산금액,청산_롱,청산_숏,청산비율,펀딩_바이낸스,펀딩_OKX,펀딩_바이비트,미결제_비중,미결제_BTC,미결제_USD,BTC_현재가,업비트_KRW,달러환율,김치프리미엄
2026-05-11 17:00,3차(17:00),정산_기준,1시간,49.09%,50.91%,2.73M,1.76M,975.90K,64.31% 롱포지션,+0.003%,+0.010%,+0.005%,17.68%,10.38B,128.66K,"$80,730.44",,,
2026-05-11 17:00,3차(17:00),정산_기준,4시간,50.15%,49.85%,11.07M,7.01M,4.06M,63.32% 롱포지션,+0.003%,+0.010%,+0.005%,17.68%,10.38B,128.66K,"$80,730.44",,,
2026-05-11 17:00,3차(17:00),정산_기준,12시간,50.31%,49.69%,262.35M,145.31M,117.04M,55.39% 롱포지션,+0.003%,+0.010%,+0.005%,17.68%,10.38B,128.66K,"$80,730.44",,,
2026-05-11 17:00,3차(17:00),정산_기준,24시간,50.12%,49.88%,409.71M,163.97M,245.74M,59.98% 숏포지션,+0.003%,+0.010%,+0.005%,17.68%,10.38B,128.66K,"$80,730.44",,,
2026-05-11 17:30,3차(17:00),정산_30분후,1시간,48.96%,51.04%,3.95M,3.06M,893.95K,77.4% 롱포지션,+0.003%,+0.009%,+0.007%,17.70%,10.38B,128.67K,"$80,682.56",,,
2026-05-11 18:00,3차(17:00),정산_1시간후,1시간,49.12%,50.88%,3.82M,3.12M,703.85K,81.58% 롱포지션,+0.003%,+0.008%,+0.007%,17.71%,10.38B,128.63K,"$80,792.16",,,
2026-05-11 20:00,-,일반,1시간,50.41%,49.59%,3.31M,1.94M,1.37M,58.65% 롱포지션,+0.003%,+0.002%,+0.006%,17.51%,10.42B,128.71K,"$80,979.69",,,
2026-05-11 22:00,-,일반,1시간,49.79%,50.21%,6.99M,2.22M,4.77M,68.29% 숏포지션,+0.002%,-0.002%,+0.001%,17.61%,10.49B,129.45K,"$81,069.6",,,
2026-05-12 00:00,1차(01:00),정산_1시간전,1시간,49.86%,50.14%,21.38M,18.76M,2.63M,87.71% 롱포지션,+0.003%,0.000%,+0.002%,17.64%,10.51B,129.99K,"$80,911.19",,,
2026-05-12 00:30,1차(01:00),정산_30분전,1시간,50.86%,49.14%,27.14M,20.32M,6.82M,74.87% 롱포지션,+0.004%,+0.001%,+0.002%,17.66%,10.56B,129.90K,"$81,336.05",,,
2026-05-12 01:00,1차(01:00),정산_기준,1시간,50.87%,49.13%,12.00M,4.99M,7.01M,58.4% 숏포지션,+0.005%,+0.001%,+0.002%,17.72%,10.59B,130.19K,"$81,436.1",,,
2026-05-12 01:00,1차(01:00),정산_기준,4시간,50.22%,49.78%,57.21M,35.75M,21.46M,62.48% 롱포지션,+0.005%,+0.001%,+0.002%,17.72%,10.59B,130.19K,"$81,436.1",,,
2026-05-12 01:00,1차(01:00),정산_기준,12시간,49.96%,50.04%,79.72M,49.53M,30.18M,62.14% 롱포지션,+0.005%,+0.001%,+0.002%,17.72%,10.59B,130.19K,"$81,436.1",,,
